Year,Name,First Name,Last Name,Position,Height (Inches),Weight (Pounds),Forty Yard Dash (Seconds),Vertical Leap (Inches),Broad Jump (Inches),Round,Pick,College
2000,Arturo Freeman,Arturo,Freeman,FS,73,188,4.5,35.5,124,5,152,South Carolina
2000,Byron Frisch,Byron,Frisch,DE,77,281,4.73,34.5,114,3,93,Brigham Young
2000,Mondriel Fulcher,Mondriel,Fulcher,FB,76,253,4.85,27,116,7,227,Miami (FL)
2000,Jason Gavadza,Jason,Gavadza,TE,75,249,4.62,32.5,113,6,204,Kent State
2000,Trevor Gaylor,Trevor,Gaylor,WR,75,199,4.56,37.5,121,4,111,Miami (OH)
2000,Kabeer Gbaja-Biamila,Kabeer,Gbaja-Biamila,OLB,76,243,4.65,34,120,5,149,San Diego State
2000,Ian Gold,Ian,Gold,OLB,73,221,4.56,33,115,2,40,Michigan
2000,Ernest Grant,Ernest,Grant,DT,77,316,5.31,29.5,98,6,167,Arkansas-Pine Bluff
2000,Barrett Green,Barrett,Green,OLB,73,233,4.56,36,120,2,50,West Virginia
2000,Mike Green,Mike,Green,FS,73,189,4.53,38.5,118,7,213,Houston
2000,Mike Green,Mike,Green,FB,73,253,4.78,28.5,108,7,213,Houston
2000,Cornelius Griffin,Cornelius,Griffin,DE,75,297,4.9,31,111,2,42,Alabama
2000,Clark Haggans,Clark,Haggans,OLB,76,253,4.97,31.5,109,5,137,Colorado State
2000,Dante Hall,Dante,Hall,RB,68,191,4.44,38,123,5,153,Texas A&M
2000,Thomas Hamner,Thomas,Hamner,RB,73,197,4.5,32,125,6,171,Minnesota
2000,Antwan Harris,Antwan,Harris,CB,69,186,4.34,39,121,6,187,Virginia
2000,Jeff Harris,Jeff,Harris,CB,73,190,4.53,34.5,114,7,232,Georgia
2000,Lloyd Harrison,Lloyd,Harrison,CB,70,190,4.5,37.5,119,3,64,North Carolina State
2000,Chris Hovan,Chris,Hovan,DT,75,305,4.99,30,101,1,25,Boston College
2000,Darren Howard,Darren,Howard,DE,76,281,5.09,29,108,2,33,Kansas State
2000,Todd Husak,Todd,Husak,QB,75,216,5.2,27.5,99,6,202,Stanford
2000,Jabari Issa,Jabari,Issa,DT,77,296,5.05,31.5,105,6,176,Washington
2000,Jeno James,Jeno,James,OG,75,320,5.62,25.5,94,6,182,Auburn
2000,Jerry Johnson,Jerry,Johnson,DT,73,293,5.03,28.5,102,4,101,Florida State
2000,Matt Johnson,Matt,Johnson,OG,76,345,5.56,28,99,5,138,Brigham Young
2000,Leander Jordan,Leander,Jordan,OG,76,330,5.46,31,104,3,82,Indiana (PA)
2000,Curtis Keaton,Curtis,Keaton,RB,70,214,4.41,41.5,131,4,97,James Madison
2000,Ben Kelly,Ben,Kelly,CB,69,183,4.53,36,116,3,84,Colorado
2000,Kenoy Kennedy,Kenoy,Kennedy,FS,73,221,4.71,33.5,113,2,45,Arkansas
2000,Andrew Kline,Andrew,Kline,OG,74,305,5.43,28,103,7,220,San Diego State
2000,Kareem Larrimore,Kareem,Larrimore,CB,71,190,4.42,34,125,4,109,West Texas A&M
2000,Leif Larsen,Leif,Larsen,DT,77,300,5.08,30,110,6,194,UTEP
2000,Charles Lee,Charles,Lee,WR,74,202,4.56,35.5,125,7,242,UCF
2000,Anthony Lucas,Anthony,Lucas,WR,75,194,4.53,35,121,4,114,Arkansas
2000,Dustin Lyman,Dustin,Lyman,ILB,76,259,4.7,35,118,3,87,Wake Forest
2000,David Macklin,David,Macklin,CB,69,194,4.54,37.5,120,3,91,Penn State
2000,Anthony Malbrough,Anthony,Malbrough,CB,69,184,4.44,35.5,117,5,130,Texas Tech
2000,Tee Martin,Tee,Martin,QB,74,227,4.58,34.5,113,5,163,Tennessee
2000,Damion McIntosh,Damion,McIntosh,OT,76,328,5.31,26,97,3,83,Kansas State
2000,Alvin McKinley,Alvin,McKinley,DT,76,289,5.09,27.5,102,4,120,Mississippi State
2000,Rondell Mealey,Rondell,Mealey,RB,73,212,4.69,33,120,7,252,LSU
2000,Brad Meester,Brad,Meester,OC,76,298,5.12,34,110,2,60,Northern Iowa
2000,Rob Meier,Rob,Meier,DE,77,284,4.99,30.5,113,7,241,Washington State
2000,Richard Mercier,Richard,Mercier,OG,75,295,5.39,26,97,5,148,Miami (FL)
2000,Michael Moore,Michael,Moore,OG,75,320,5.45,24.5,94,4,129,Troy
2000,Muneer Moore,Muneer,Moore,WR,74,201,4.52,37.5,129,5,154,Richmond
2000,Frank Moreau,Frank,Moreau,RB,73,231,4.57,36,117,4,115,Louisville
2000,Rob Morris,Rob,Morris,ILB,74,250,4.77,33,113,1,28,Brigham Young
2000,Sammy Morris,Sammy,Morris,FB,73,221,4.65,37.5,117,5,156,Texas Tech
2000,Sylvester Morris,Sylvester,Morris,WR,75,216,4.6,34.5,119,1,21,Jackson State
2000,Chad Morton,Chad,Morton,RB,68,182,4.5,36,121,5,166,USC
2000,Bobby Myers,Bobby,Myers,FS,73,183,4.56,37.5,123,4,124,Wisconsin
2000,Dennis Northcutt,Dennis,Northcutt,WR,71,175,4.43,37.5,123,2,32,Arizona
2000,Erik Olson,Erik,Olson,SS,73,208,4.63,35,115,7,236,Colorado State
2000,Chad Pennington,Chad,Pennington,QB,76,229,4.81,33.5,111,1,18,Marshall
2000,Mareno Philyaw,Mareno,Philyaw,WR,74,205,4.66,39.5,129,6,172,Troy
2000,DaShon Polk,DaShon,Polk,OLB,74,233,4.75,32,111,7,251,Arizona
2000,Hank Poteat,Hank,Poteat,CB,70,197,4.57,37,126,3,77,Pittsburgh
2000,Travis Prentice,Travis,Prentice,RB,73,225,4.5,37,115,3,63,Miami (OH)
2000,Tim Rattay,Tim,Rattay,QB,73,215,4.91,25.5,100,7,212,Louisiana Tech
2000,Chris Redman,Chris,Redman,QB,75,222,5.37,26.5,98,3,75,Louisville
2000,J.R. Redmond,J.R.,Redmond,RB,73,216,4.48,32.5,121,3,76,Arizona State
2000,Quinton Reese,Quinton,Reese,DE,76,283,5.13,30,101,6,181,Auburn
2000,Tutan Reyes,Tutan,Reyes,OT,75,299,5.37,26.5,99,5,131,Mississippi
2000,Fred Robbins,Fred,Robbins,DT,76,312,5.09,29.5,94,2,55,Wake Forest
2000,Greg Robinson-Randall,Greg,Robinson-Randall,OT,78,333,5.59,26,95,4,127,Michigan State
2000,Lewis Sanders,Lewis,Sanders,CB,73,202,4.5,37,116,4,95,Maryland
2000,Sekou Sanyika,Sekou,Sanyika,OLB,75,241,4.75,32.5,111,7,215,California
